No,HN1,HN2,L1,L2,L3,AVG
301,272,208,0.917847025,0.960339943,0.954674221,0.944287063
302,272,224,0.906515581,0.937677054,0.957507082,0.933899906
303,272,240,0.909348442,0.963172805,0.960339943,0.944287063
304,272,256,0.912181303,0.966005666,0.966005666,0.948064212
305,272,272,0.912181303,0.957507082,0.963172805,0.944287063
306,272,288,0.906515581,0.963172805,0.957507082,0.942398489
307,288,16,0.847025496,0.957507082,0.943342776,0.915958451
308,288,32,0.909348442,0.957507082,0.949008499,0.938621341
309,288,48,0.906515581,0.946175637,0.95184136,0.934844193
310,288,64,0.912181303,0.954674221,0.957507082,0.941454202
311,288,80,0.909348442,0.960339943,0.957507082,0.942398489
312,288,96,0.906515581,0.960339943,0.954674221,0.940509915
313,288,112,0.917847025,0.957507082,0.954674221,0.943342776
314,288,128,0.909348442,0.957507082,0.954674221,0.940509915
315,288,144,0.912181303,0.960339943,0.957507082,0.943342776
316,288,160,0.912181303,0.966005666,0.960339943,0.946175637
317,288,176,0.912181303,0.968838527,0.960339943,0.947119924
318,288,192,0.912181303,0.968838527,0.963172805,0.948064212
319,288,208,0.912181303,0.963172805,0.963172805,0.946175637
320,288,224,0.90368272,0.963172805,0.957507082,0.941454202
321,288,240,0.90368272,0.963172805,0.957507082,0.941454202
322,288,256,0.915014164,0.963172805,0.966005666,0.948064212
323,288,272,0.912181303,0.954674221,0.966005666,0.944287063
324,288,288,0.915014164,0.957507082,0.957507082,0.943342776
